ask hoi
adopt thichnghi
alone motminh
able cothe
adult nguoilontuoi
acount taikhoan
avoid tranh
agriculture nongnghiep
average trungbinh
anoy phien
answer traloi
book quyensach
bag caicap
big to
baby trecon
build xaydung
boy caube
case truonghop
copy saochep
center trungtam
cook nauan
cat conmeo
control dieukhien
circle hinhtron
close dongvao
doctor bacsi
duck convit
dig dao
decide quyetdinh
dog concho
drug thuoc
draw ve
enter vao 
evelope phongbi
equipment thietbi
equal congbang
enough du
easy dedang
ease xoabo
food doan
feel camgiac
feed choan
fire lua
free mienphi
friday thusau
five sonam
four sobon
famous noitieng
fight dautranh
finger ngontay
football bongda 
good tot
go di
great tuyetvoi
government  chinhphu
give cho
girl cobe
gift quatang
heart traitim
hate ghet
he anhay
heat nhiet
heavy nang
have co
hang treo
hill doi
heaven thiendang
hue mausau
how nhuthenao
hello xinchao
hotel khachsan
inbox hopthude
into vaotrong
interfere canthiep
internet mangluoi
instead thayvi
ink muc
iron sat
increase tang
is la
i toi
involve lienquan
jog chaybo
job congviec
july thangbay
june thangsau
judge phanxet
knee daugoi
know biet
knife condao
kitchen phongbep
kiss hon
love yeu
live song
lotus hoasen
link duongdan
little it
laptop maytinh
lucky mayman
like thich
mango xoai
moon mattrang
meat thit 
mean bantien
miss nho
milk suatuoi
metal kimloai
mood tamtrang
might cothe
must phai
morning buoisang
mask matna
matter vande
night buoitoi
never khongbaogio
number so
november thangmuoimot
now baygio
naked tranchuong
new moi
name ten
necessary canthiet
open mora
octorber thangmuoi
online tructuyen
or hoac
object suvat
order dathang
over ketthuc
old cu
pig conlon
pen caibut
pet thucung
police canhsat
pink mauhong
pick nhat
phone dienthoai
peace hoaibinh
pay tra
question cauhoi
quiet yentinh
quit tubo
quick nhanhchong
queen nuhoang
quality chatluong
quote trichdan
ring chiecnhan
right benphai 
reset cailai
return quaytrolai
reveal tietlo
river consong
rick giauco
record ghiam
set caidat
song baihat
sun mattroi
sister chigai
side ben
she coay
sing hat
sea baibien
school truonghoc
score diemso
slang tienglong
swim boiloi
sweet ngotngao
shy xauho
sound amthanh
silent imlang
under oduoi
uncle bac
uniform dongphuc
upper phiatren
university daihoc
uniqe docnhat
urgly xauxi
train tauhoa
tea tra
true dung
try thu
truth suthat
three soba
throw nem
think suynghi
thursday thuba
tree caicay
they ho
trade buonban
tired metmoi
time thoigian
vase binhhoa
vocabulary tuvung
vest aovest
vacation kynghi
version phienban
virus convirut
viral noitieng
very ratnhieu
vary dadang
volleyball caulong
september thangchin
shop cuahang
seat ngoi
say noi
speak noi
young tretuoi
year nam
youth thieunien
yes co
yogurt suachua
you cacban
zero sokhong
zebra nguavan
weather thoitiet
why taisao
what caigi
where odau
when khinao
white mautrang
whistle thitham
witch phuthuy
wrong sai
wrap donggoi
write viet
we chungtahope ya
